Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
PARK COLONIAL,4 Woodleigh Lane  #13-16 ,1,56,Strata,1107000,-,19768,1836,21-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357686,Central Region,Toa Payoh
MARTIN MODERN,8 Martin Place  #23-01 ,1,167,Strata,5560000,-,33293,3093,20-Dec-18,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,Private,9,23,237992,Central Region,River Valley
RIPPLE BAY,2 Pasir Ris Link  #07-08 ,1,99,Strata,1090000,-,11010,1023,20-Dec-18,Condominium,99 Yrs From 10/08/2011,2015,Resale,HDB,18,51,518184,East Region,Pasir Ris
SOLEIL @ SINARAN,2 Sinaran Drive  #27-03 ,1,137,Strata,2820000,-,20584,1912,20-Dec-18,Condominium,99 Yrs From 23/10/2006,2011,Resale,Private,11,30,307467,Central Region,Novena
WATER PLACE,177 Tanjong Rhu Road  #03-21 ,1,113,Strata,1525000,-,13496,1254,20-Dec-18,Condominium,99 Yrs From 02/03/1998,2004,Resale,HDB,15,43,436607,Central Region,Kallang
COSTA DEL SOL,70 Bayshore Road  #17-11 ,1,125,Strata,1750000,-,14000,1301,20-Dec-18,Condominium,99 Yrs From 05/05/1997,2004,Resale,HDB,16,46,469987,East Region,Bedok
ECO,283 Bedok South Avenue 3  #06-53 ,1,55,Strata,800000,-,14545,1351,20-Dec-18,Condominium,99 Yrs From 14/05/2012,2017,Resale,HDB,16,46,465460,East Region,Bedok
SENNETT RESIDENCE,33 Pheng Geck Avenue  #02-10 ,1,76,Strata,1188000,-,15632,1452,20-Dec-18,Condominium,99 Yrs From 28/11/2011,2016,Resale,HDB,13,34,348228,Central Region,Toa Payoh
PARC BOTANNIA,12 Fernvale Street  #22-14 ,1,73,Strata,952540,-,13048,1212,20-Dec-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797391,North East Region,Sengkang
THE BAYSHORE,32 Bayshore Road  #10-03 ,1,87,Strata,903000,-,10379,964,20-Dec-18,Condominium,99 Yrs From 31/05/1993,1997,Resale,HDB,16,46,469975,East Region,Bedok
RIVER ISLES,68 Edgedale Plains  #14-35 ,1,88,Strata,938000,-,10659,990,20-Dec-18,Condominium,99 Yrs From 06/02/2012,2015,Resale,HDB,19,82,828733,North East Region,Punggol
PARK COLONIAL,12 Woodleigh Lane  #04-54 ,1,91,Strata,1585000,-,17418,1618,20-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357658,Central Region,Toa Payoh
LAKEHOLMZ,90 Corporation Road  #15-22 ,1,140,Strata,1440000,-,10286,956,20-Dec-18,Condominium,99 Yrs From 29/10/2001,2005,Resale,Private,22,64,649824,West Region,Jurong West
QUEENS,16 Stirling Road  #17-16 ,1,111,Strata,1495000,-,13468,1251,20-Dec-18,Condominium,99 Yrs From 16/02/1998,2002,Resale,Private,3,14,148957,Central Region,Queenstown
ORCHID PARK CONDOMINIUM,81 Yishun Street 81  #10-04 ,1,111,Strata,840000,-,7568,703,20-Dec-18,Condominium,99 Yrs From 01/09/1991,1994,Resale,Private,27,76,768445,North Region,Yishun
PALM ISLES,32 Flora Drive  #07-14 ,1,73,Strata,760000,-,10411,967,20-Dec-18,Condominium,99 Yrs From 14/09/2011,2015,Resale,Private,17,50,506892,East Region,Pasir Ris
THE TRE VER,62 Potong Pasir Avenue 1  #16-09 ,1,65,Strata,1164000,-,17908,1664,20-Dec-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,HDB,13,35,358392,Central Region,Toa Payoh
