Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE TRILINQ,28A Jalan Lempeng  #02-13 ,1,124,Strata,1438000,-,11597,1077,6-Mar-18,Condominium,99 Yrs From 16/04/2012,2017,New Sale,N.A,5,12,128808,West Region,Clementi
REFLECTIONS AT KEPPEL BAY,29 Keppel Bay View  #19-86 ,1,91,Strata,1690000,-,18571,1725,6-Mar-18,Condominium,99 Yrs From 15/03/2006,2011,Resale,Private,4,9,98417,Central Region,Bukit Merah
PARC RIVIERA,101 West Coast Vale  #11-11 ,1,110,Strata,1503000,-,13664,1269,6-Mar-18,Condominium,99 Yrs From 11/11/2015,Uncompleted,New Sale,Private,5,12,126753,West Region,Clementi
SUNRISE GARDENS,53 Sunrise Avenue  #01-24 ,1,120,Strata,885000,-,7375,685,6-Mar-18,Condominium,99 Yrs From 24/06/1995,1998,Resale,Private,28,80,806746,North East Region,Ang Mo Kio
THE TRILINQ,28 Jalan Lempeng  #06-05 ,1,125,Strata,1632000,-,13056,1213,6-Mar-18,Condominium,99 Yrs From 16/04/2012,2017,New Sale,HDB,5,12,128807,West Region,Clementi
TANGLIN REGENCY,383 Tanglin Road  #03-02 ,1,103,Strata,1490000,-,14466,1344,6-Mar-18,Condominium,99 Yrs From 01/05/1994,1998,Resale,Private,10,24,247966,Central Region,Bukit Merah
ECHELON,9 Alexandra View  #04-12 ,1,93,Strata,1550000,-,16667,1548,6-Mar-18,Condominium,99 Yrs From 06/03/2012,2016,Resale,HDB,3,15,158742,Central Region,Bukit Merah
GRANDEUR PARK RESIDENCES,3 Bedok South Avenue 3  #02-19 ,1,62,Strata,1057112,-,17050,1584,6-Mar-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,HDB,16,46,465462,East Region,Bedok
THE MADEIRA,52 Bukit Batok Street 31  #03-10 ,1,121,Strata,1020000,-,8430,783,6-Mar-18,Condominium,99 Yrs From 14/08/2000,2003,Resale,HDB,23,65,659443,West Region,Bukit Batok
TREE HOUSE,60 Chestnut Avenue  #01-01 ,1,144,Strata,1520000,-,10556,981,6-Mar-18,Condominium,99 Yrs From 23/11/2009,2013,Resale,Private,23,67,679517,West Region,Bukit Panjang
SOPHIA HILLS,23 Mount Sophia  #02-81 ,1,89,Strata,2200000,-,24719,2296,6-Mar-18,Condominium,99 Yrs From 10/12/2013,Uncompleted,New Sale,N.A,9,22,228476,Central Region,Rochor
GRANDEUR PARK RESIDENCES,9 Bedok South Avenue 3  #09-38 ,1,62,Strata,1140112,-,18389,1708,6-Mar-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,N.A,16,46,465465,East Region,Bedok
COSTA DEL SOL,72 Bayshore Road  #06-15 ,1,145,Strata,1850000,-,12759,1185,6-Mar-18,Condominium,99 Yrs From 05/05/1997,2004,Resale,Private,16,46,469988,East Region,Bedok
CENTRAL GROVE,1 Geylang East Avenue 1  #02-07 ,1,115,Strata,1070000,-,9304,864,6-Mar-18,Condominium,99 Yrs From 18/07/1997,2001,Resale,Private,14,38,389778,Central Region,Geylang
D'NEST,129 Pasir Ris Grove  #09-12 ,1,70,Strata,830000,-,11857,1102,6-Mar-18,Condominium,99 Yrs From 20/10/2010,2017,Resale,HDB,18,51,518179,East Region,Pasir Ris
THE SPRINGBLOOM,143 Serangoon Avenue 3  #10-01 ,1,121,Strata,1415000,-,11694,1086,5-Mar-18,Condominium,99 Yrs From 01/03/1995,1999,Resale,Private,19,55,556121,North East Region,Serangoon
DOUBLE BAY RESIDENCES,17 Simei Street 4  #06-04 ,1,87,Strata,968000,-,11126,1034,5-Mar-18,Condominium,99 Yrs From 07/04/2008,2012,Resale,Private,18,52,529881,East Region,Tampines
THE CREST,101 Prince Charles Crescent  #02-01 ,1,113,Strata,2133000,-,18876,1754,5-Mar-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,HDB,3,15,159017,Central Region,Bukit Merah
Q BAY RESIDENCES,3 Tampines Street 86  #04-15 ,1,77,Strata,920000,-,11948,1110,5-Mar-18,Condominium,99 Yrs From 21/08/2012,2016,Resale,HDB,18,52,528584,East Region,Tampines
PARC BOTANNIA,12 Fernvale Street  #08-10 ,1,47,Strata,640000,-,13617,1265,5-Mar-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797391,North East Region,Sengkang
OPTIMA @ TANAH MERAH,78 Tanah Merah Kechil Avenue  #02-02 ,1,132,Strata,1626888,-,12325,1145,5-Mar-18,Condominium,99 Yrs From 09/12/2008,2012,Resale,Private,16,46,465538,East Region,Bedok
FAR HORIZON GARDENS,7 Ang Mo Kio Avenue 9  #02-03 ,1,111,Strata,990000,-,8919,829,5-Mar-18,Condominium,99 Yrs From 08/03/1982,1986,Resale,Private,20,56,569761,North East Region,Ang Mo Kio
CASUARINA COVE,122 Tanjong Rhu Road  #02-02 ,1,151,Strata,2000000,-,13245,1230,5-Mar-18,Condominium,99 Yrs From 20/10/1993,1996,Resale,Private,15,43,436915,Central Region,Kallang
THE MILTONIA RESIDENCES,554 Miltonia Close  #01-76 ,1,140,Strata,1280000,-,9143,849,5-Mar-18,Condominium,99 Yrs From 30/11/2010,2014,Resale,HDB,27,76,768121,North Region,Yishun
REFLECTIONS AT KEPPEL BAY,29 Keppel Bay View  #12-87 ,1,101,Strata,1950000,-,19307,1794,5-Mar-18,Condominium,99 Yrs From 15/03/2006,2011,Resale,Private,4,9,98417,Central Region,Bukit Merah
GRANDEUR PARK RESIDENCES,5 Bedok South Avenue 3  #10-25 ,1,135,Strata,2161112,-,16008,1487,5-Mar-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,N.A,16,46,465463,East Region,Bedok
NV RESIDENCES,95 Pasir Ris Grove  #08-39 ,1,110,Strata,1075000,-,9773,908,5-Mar-18,Condominium,99 Yrs From 07/01/2008,2013,Resale,HDB,18,51,518192,East Region,Pasir Ris
THE SPRINGBLOOM,145 Serangoon Avenue 3  #15-06 ,1,133,Strata,1620000,-,12180,1132,5-Mar-18,Condominium,99 Yrs From 01/03/1995,1999,Resale,Private,19,55,556122,North East Region,Serangoon
THE QUARTZ,63 Compassvale Bow  #17-28 ,1,107,Strata,1124000,-,10505,976,5-Mar-18,Condominium,99 Yrs From 18/04/2005,2009,Resale,Private,19,54,544990,North East Region,Sengkang
PARC OLYMPIA,66 Flora Drive  #04-57 ,1,74,Strata,780000,-,10541,979,5-Mar-18,Condominium,99 Yrs From 25/01/2012,2015,Resale,HDB,17,50,506861,East Region,Pasir Ris
CLEMENTIWOODS CONDOMINIUM,78 West Coast Road  #04-03 ,1,55,Strata,745000,-,13545,1258,5-Mar-18,Condominium,99 Yrs From 07/02/2006,2010,Resale,HDB,5,12,126815,West Region,Clementi
BLUE HORIZON,25 West Coast Crescent  #22-13 ,1,108,Strata,1234800,-,11433,1062,5-Mar-18,Condominium,99 Yrs From 14/08/2000,2005,Resale,HDB,5,12,128047,West Region,Clementi
EAST MEADOWS,32 Tanah Merah Kechil Road  #02-22 ,1,111,Strata,970000,-,8739,812,5-Mar-18,Condominium,99 Yrs From 02/03/1998,2002,Resale,Private,16,46,465559,East Region,Bedok
WATER PLACE,177 Tanjong Rhu Road  #05-23 ,1,129,Strata,1628000,-,12620,1172,5-Mar-18,Condominium,99 Yrs From 02/03/1998,2004,Resale,Private,15,43,436607,Central Region,Kallang
THE BAYSHORE,30 Bayshore Road  #03-03 ,1,114,Strata,1050000,-,9211,856,5-Mar-18,Condominium,99 Yrs From 31/05/1993,1997,Resale,HDB,16,46,469974,East Region,Bedok
QUEENS,10 Stirling Road  #05-01 ,1,111,Strata,1450000,-,13063,1214,5-Mar-18,Condominium,99 Yrs From 16/02/1998,2002,Resale,Private,3,14,148954,Central Region,Queenstown
SANCTUARY GREEN,181 Tanjong Rhu Road  #04-10 ,1,130,Strata,1600000,-,12308,1143,5-Mar-18,Condominium,99 Yrs From 17/03/1997,2004,Resale,Private,15,43,436922,Central Region,Kallang
THE AZURE,201 Ocean Drive  #06-03 ,1,294,Strata,4900000,-,16667,1548,5-Mar-18,Condominium,99 Yrs From 03/01/2005,2008,Resale,Private,4,9,98584,Central Region,Southern Islands
THE LAKEFRONT RESIDENCES,48 Lakeside Drive  #13-25 ,1,67,Strata,940000,-,14030,1303,5-Mar-18,Condominium,99 Yrs From 03/08/2010,2014,Resale,HDB,22,64,648305,West Region,Jurong West
LAKEVILLE,1 Jurong Lake Link  #08-02 ,1,59,Strata,880000,-,14915,1386,5-Mar-18,Condominium,99 Yrs From 30/04/2013,2017,Resale,Private,22,64,648160,West Region,Jurong West
BAYWATER,806 Bedok Reservoir Road  #06-04 ,1,98,Strata,935000,-,9541,886,5-Mar-18,Condominium,99 Yrs From 19/03/2001,2006,Resale,Private,16,47,479243,East Region,Bedok
GRANDEUR PARK RESIDENCES,7 Bedok South Avenue 3  #01-32 ,1,90,Strata,1441112,-,16012,1488,5-Mar-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,HDB,16,46,465464,East Region,Bedok
CENTRAL GROVE,1 Geylang East Avenue 1  #04-01 ,1,115,Strata,1125000,-,9783,909,5-Mar-18,Condominium,99 Yrs From 18/07/1997,2001,Resale,HDB,14,38,389778,Central Region,Geylang
SKY VUE,1 Bishan Street 15  #12-03 ,1,45,Strata,820000,-,18222,1693,5-Mar-18,Condominium,99 Yrs From 04/03/2013,2016,Resale,HDB,20,57,573910,Central Region,Bishan
GRANDEUR PARK RESIDENCES,1 Bedok South Avenue 3  #02-14 ,1,58,Strata,1041112,-,17950,1668,5-Mar-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,Private,16,46,465461,East Region,Bedok
THE INTERLACE,190 Depot Road  #07-18 ,1,75,Strata,1100000,-,14667,1363,5-Mar-18,Condominium,99 Yrs From 11/02/2009,2013,Resale,Private,4,10,109689,Central Region,Bukit Merah
GRANDEUR PARK RESIDENCES,3 Bedok South Avenue 3  #12-16 ,1,83,Strata,1309112,-,15772,1465,4-Mar-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,HDB,16,46,465462,East Region,Bedok
GEM RESIDENCES,3 Lorong 5 Toa Payoh  #31-11 ,1,72,Strata,1392000,-,19333,1796,4-Mar-18,Condominium,99 Yrs From 21/09/2015,Uncompleted,New Sale,HDB,12,31,319459,Central Region,Toa Payoh
PARC BOTANNIA,12 Fernvale Street  #10-10 ,1,47,Strata,646000,-,13745,1277,4-Mar-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797391,North East Region,Sengkang
GRANDEUR PARK RESIDENCES,3 Bedok South Avenue 3  #10-21 ,1,83,Strata,1299112,-,15652,1454,4-Mar-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,HDB,16,46,465462,East Region,Bedok
PARC BOTANNIA,18 Fernvale Street  #16-30 ,1,62,Strata,921000,-,14855,1380,4-Mar-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,N.A,28,79,797394,North East Region,Sengkang
MARTIN MODERN,10 Martin Place  #05-14 ,1,71,Strata,2122520,-,29895,2777,3-Mar-18,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,Private,9,23,237963,Central Region,River Valley
GEM RESIDENCES,3 Lorong 5 Toa Payoh  #08-15 ,1,116,Strata,1824570,-,15729,1461,3-Mar-18,Condominium,99 Yrs From 21/09/2015,Uncompleted,New Sale,HDB,12,31,319459,Central Region,Toa Payoh
SIMS URBAN OASIS,16 Sims Drive  #18-57 ,1,123,Strata,1820900,-,14804,1375,3-Mar-18,Condominium,99 Yrs From 29/07/2014,2017,New Sale,N.A,14,38,387393,Central Region,Geylang
GRANDEUR PARK RESIDENCES,1 Bedok South Avenue 3  #12-14 ,1,58,Strata,1090112,-,18795,1746,3-Mar-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,Private,16,46,465461,East Region,Bedok
PARC BOTANNIA,18 Fernvale Street  #11-28 ,1,73,Strata,1007000,-,13795,1282,3-Mar-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797394,North East Region,Sengkang
THE TRILINQ,28 Jalan Lempeng  #26-08 ,1,103,Strata,1489000,-,14456,1343,2-Mar-18,Condominium,99 Yrs From 16/04/2012,2017,New Sale,Private,5,12,128807,West Region,Clementi
THE MINTON,12C Hougang Street 11  #14-67 ,1,124,Strata,1430000,-,11532,1071,2-Mar-18,Condominium,99 Yrs From 27/07/2007,2013,Resale,HDB,19,53,534072,North East Region,Hougang
THE MINTON,2 Hougang Street 11  #11-03 ,1,91,Strata,980000,-,10769,1000,2-Mar-18,Condominium,99 Yrs From 27/07/2007,2013,Resale,HDB,19,53,538751,North East Region,Hougang
D'NEST,129 Pasir Ris Grove  #11-11 ,1,105,Strata,1230000,-,11714,1088,2-Mar-18,Condominium,99 Yrs From 20/10/2010,2017,Resale,HDB,18,51,518179,East Region,Pasir Ris
THE QUARTZ,69 Compassvale Bow  #07-37 ,1,112,Strata,1070000,-,9554,888,2-Mar-18,Condominium,99 Yrs From 18/04/2005,2009,Resale,Private,19,54,544993,North East Region,Sengkang
KOVAN MELODY,35 Kovan Road  #03-45 ,1,113,Strata,1300000,-,11504,1069,2-Mar-18,Condominium,99 Yrs From 20/01/2004,2006,Resale,Private,19,54,545019,North East Region,Hougang
GRANDEUR PARK RESIDENCES,3 Bedok South Avenue 3  #03-18 ,1,62,Strata,1066112,-,17195,1597,2-Mar-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,N.A,16,46,465462,East Region,Bedok
THE ARCADIA,237 Arcadia Road  #07-03 ,1,347,Strata,3500000,-,10086,937,2-Mar-18,Condominium,99 Yrs From 17/08/1979,1983,Resale,Private,11,28,289844,Central Region,Bukit Timah
THE GARDENS AT BISHAN,7 Sin Ming Walk  #13-18 ,1,112,Strata,1300000,-,11607,1078,2-Mar-18,Condominium,99 Yrs From 22/03/1997,2004,Resale,HDB,20,57,575577,Central Region,Bishan
D'NEST,129 Pasir Ris Grove  #05-11 ,1,105,Strata,1220000,-,11619,1079,2-Mar-18,Condominium,99 Yrs From 20/10/2010,2017,Resale,Private,18,51,518179,East Region,Pasir Ris
GRANDEUR PARK RESIDENCES,7 Bedok South Avenue 3  #04-31 ,1,62,Strata,996000,-,16065,1492,2-Mar-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,HDB,16,46,465464,East Region,Bedok
A TREASURE TROVE,54 Punggol Walk  #15-11 ,1,85,Strata,985000,-,11588,1077,2-Mar-18,Condominium,99 Yrs From 09/03/2011,2015,Resale,HDB,19,82,828832,North East Region,Punggol
PARC OLYMPIA,50 Flora Drive  #08-08 ,1,120,Strata,1035000,-,8625,801,2-Mar-18,Condominium,99 Yrs From 25/01/2012,2015,Resale,Private,17,50,506868,East Region,Pasir Ris
ASTORIA PARK,34 Lorong Mydin  #12-08 ,1,111,Strata,1150000,-,10360,963,2-Mar-18,Condominium,99 Yrs From 01/05/1993,1995,Resale,Private,14,41,416827,East Region,Bedok
BOATHOUSE RESIDENCES,31 Upper Serangoon View  #03-20 ,1,103,Strata,1039999,-,10097,938,2-Mar-18,Condominium,99 Yrs From 09/02/2011,2015,Resale,HDB,19,53,534043,North East Region,Hougang
VILLA MARINA,21 Jalan Sempadan  #04-15 ,1,215,Strata,1880000,-,8744,812,2-Mar-18,Condominium,99 Yrs From 13/02/1995,1999,Resale,Private,15,45,457398,East Region,Bedok
SAVANNAH CONDOPARK,43 Simei Rise  #08-26 ,1,114,Strata,1050000,-,9211,856,2-Mar-18,Condominium,99 Yrs From 29/11/2000,2005,Resale,Private,18,52,528785,East Region,Tampines
PARC BOTANNIA,12 Fernvale Street  #02-12 ,1,80,Strata,1061112,-,13264,1232,2-Mar-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,N.A,28,79,797391,North East Region,Sengkang
AQUARIUS BY THE PARK,21 Bedok Reservoir View  #18-01 ,1,174,Strata,1550000,-,8908,828,2-Mar-18,Condominium,99 Yrs From 12/06/1996,2000,Resale,HDB,16,47,478936,East Region,Bedok
THE SHORE RESIDENCES,81 Amber Road  #06-05 ,1,55,Strata,978000,-,17782,1652,2-Mar-18,Condominium,103 Yrs From 18/08/2009,2014,Resale,Private,15,43,439893,Central Region,Marine Parade
FORESQUE RESIDENCES,109 Petir Road  #19-21 ,1,68,Strata,870000,-,12794,1189,2-Mar-18,Condominium,99 Yrs From 10/01/2011,2014,Resale,HDB,23,67,678276,West Region,Bukit Panjang
THE SHORE RESIDENCES,83 Amber Road  #15-10 ,1,106,Strata,1700000,-,16038,1490,2-Mar-18,Condominium,103 Yrs From 18/08/2009,2014,Resale,Private,15,43,439894,Central Region,Marine Parade
PARC BOTANNIA,16 Fernvale Street  #21-24 ,1,90,Strata,1329000,-,14767,1372,2-Mar-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797393,North East Region,Sengkang
PARC BOTANNIA,10 Fernvale Street  #21-08 ,1,40,Strata,614000,-,15350,1426,2-Mar-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797390,North East Region,Sengkang
A TREASURE TROVE,66 Punggol Walk  #04-34 ,1,97,Strata,1080000,-,11134,1034,2-Mar-18,Condominium,99 Yrs From 09/03/2011,2015,Resale,HDB,19,82,828783,North East Region,Punggol
PARC BOTANNIA,12 Fernvale Street  #12-14 ,1,62,Strata,871112,-,14050,1305,2-Mar-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,N.A,28,79,797391,North East Region,Sengkang
THE MINTON,14A Hougang Street 11  #13-73 ,1,91,Strata,1000000,-,10989,1021,2-Mar-18,Condominium,99 Yrs From 27/07/2007,2013,Resale,HDB,19,53,534070,North East Region,Hougang
QUEENS PEAK,3 Dundee Road  #35-23 ,1,78,Strata,1603000,-,20551,1909,1-Mar-18,Condominium,99 Yrs From 28/09/2015,Uncompleted,New Sale,HDB,3,14,149457,Central Region,Queenstown
THE TRILINQ,28 Jalan Lempeng  #32-05 ,1,125,Strata,1763000,-,14104,1310,1-Mar-18,Condominium,99 Yrs From 16/04/2012,2017,New Sale,Private,5,12,128807,West Region,Clementi
SEASONS PARK,499 Yio Chu Kang Road  #08-02 ,1,103,Strata,943000,-,9155,851,1-Mar-18,Condominium,99 Yrs From 01/03/1995,1997,Resale,HDB,26,78,787082,North East Region,Ang Mo Kio
PARC BOTANNIA,18 Fernvale Street  #02-35 ,1,47,Strata,637000,-,13553,1259,1-Mar-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797394,North East Region,Sengkang
THE GARDENS AT BISHAN,3 Sin Ming Walk  #11-25 ,1,114,Strata,1280000,-,11228,1043,1-Mar-18,Condominium,99 Yrs From 22/03/1997,2004,Resale,HDB,20,57,575575,Central Region,Bishan
SAVANNAH CONDOPARK,61 Simei Rise  #04-63 ,1,135,Strata,1255000,-,9296,864,1-Mar-18,Condominium,99 Yrs From 29/11/2000,2005,Resale,Private,18,52,528794,East Region,Tampines
A TREASURE TROVE,66 Punggol Walk  #06-35 ,1,124,Strata,1480000,-,11935,1109,1-Mar-18,Condominium,99 Yrs From 09/03/2011,2015,Resale,HDB,19,82,828783,North East Region,Punggol
THE MAYFAIR,1 Jurong East Street 32  #10-02 ,1,108,Strata,1015000,-,9398,873,1-Mar-18,Condominium,99 Yrs From 04/12/1996,2000,Resale,HDB,22,60,609477,West Region,Jurong East
THE MAYFAIR,5 Jurong East Street 32  #02-06 ,1,83,Strata,830000,-,10000,929,1-Mar-18,Condominium,99 Yrs From 04/12/1996,2000,Resale,Private,22,60,609479,West Region,Jurong East
BAYSHORE PARK,62 Bayshore Road  #12-03 ,1,87,Strata,1150000,-,13218,1228,1-Mar-18,Condominium,99 Yrs From 17/03/1982,1986,Resale,HDB,16,46,469983,East Region,Bedok
SANCTUARY GREEN,187 Tanjong Rhu Road  #03-08 ,1,159,Strata,1980000,-,12453,1157,1-Mar-18,Condominium,99 Yrs From 17/03/1997,2003,Resale,Private,15,43,436925,Central Region,Kallang
AQUARIUS BY THE PARK,13 Bedok Reservoir View  #08-04 ,1,123,Strata,1200000,-,9756,906,1-Mar-18,Condominium,99 Yrs From 12/06/1996,2001,Resale,HDB,16,47,478932,East Region,Bedok
GEM RESIDENCES,1 Lorong 5 Toa Payoh  #31-08 ,1,122,Strata,2039000,-,16713,1553,1-Mar-18,Condominium,99 Yrs From 21/09/2015,Uncompleted,New Sale,Private,12,31,319458,Central Region,Toa Payoh
HEDGES PARK CONDOMINIUM,73 Flora Drive  #05-11 ,1,45,Strata,535000,-,11889,1105,1-Mar-18,Condominium,99 Yrs From 28/07/2010,2015,Resale,HDB,17,50,506882,East Region,Pasir Ris
PARC BOTANNIA,10 Fernvale Street  #07-09 ,1,47,Strata,640000,-,13617,1265,1-Mar-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,N.A,28,79,797390,North East Region,Sengkang
D'LEEDON,3 Leedon Heights  #20-04 ,1,167,Strata,2750000,-,16467,1530,1-Mar-18,Condominium,99 Yrs From 08/04/2010,2014,Resale,Private,10,26,267951,Central Region,Bukit Timah
WOODGROVE CONDOMINIUM,12 Woodgrove Drive  #03-52 ,1,141,Strata,1100000,-,7801,725,1-Mar-18,Condominium,99 Yrs From 17/05/1997,1999,Resale,HDB,25,73,738212,North Region,Woodlands
QUEENS,16 Stirling Road  #10-15 ,1,111,Strata,1408800,-,12692,1179,1-Mar-18,Condominium,99 Yrs From 16/02/1998,2002,Resale,Private,3,14,148957,Central Region,Queenstown
TANGLIN REGENCY,383 Tanglin Road  #12-03 ,1,82,Strata,1230000,-,15000,1394,1-Mar-18,Condominium,99 Yrs From 01/05/1994,1998,Resale,Private,10,24,247966,Central Region,Bukit Merah
THE TRILINQ,28 Jalan Lempeng  #06-07 ,1,126,Strata,1615000,-,12817,1191,1-Mar-18,Condominium,99 Yrs From 16/04/2012,2017,New Sale,HDB,5,12,128807,West Region,Clementi
CASABLANCA,21 Rosewood Drive  #12-04 ,1,103,Strata,874000,-,8485,788,1-Mar-18,Condominium,99 Yrs From 02/10/2001,2005,Resale,HDB,25,73,737917,North Region,Woodlands
BAYWATER,808 Bedok Reservoir Road  #11-08 ,1,120,Strata,1238000,-,10317,958,1-Mar-18,Condominium,99 Yrs From 19/03/2001,2006,Resale,HDB,16,47,479240,East Region,Bedok
CARIBBEAN AT KEPPEL BAY,6 Keppel Bay Drive  #03-06 ,1,119,Strata,1788000,-,15025,1396,1-Mar-18,Condominium,99 Yrs From 16/08/1999,2004,Resale,HDB,4,9,98638,Central Region,Bukit Merah
MANDARIN GARDENS,3 Siglap Road  #06-29 ,1,166,Strata,1750000,-,10542,979,28-Feb-18,Condominium,99 Yrs From 08/03/1982,1986,Resale,Private,15,44,448907,East Region,Bedok
THE INFLORA,63 Flora Drive  #03-36 ,1,43,Strata,535000,-,12442,1156,28-Feb-18,Condominium,99 Yrs From 25/05/2012,2016,Resale,Private,17,50,506848,East Region,Pasir Ris
QUEENS PEAK,1 Dundee Road  #42-05 ,1,78,Strata,1608000,-,20615,1915,28-Feb-18,Condominium,99 Yrs From 28/09/2015,Uncompleted,New Sale,Private,3,14,149456,Central Region,Queenstown
QUEENS PEAK,1 Dundee Road  #41-07 ,1,140,Strata,2528000,-,18057,1678,28-Feb-18,Condominium,99 Yrs From 28/09/2015,Uncompleted,New Sale,Private,3,14,149456,Central Region,Queenstown
EAST MEADOWS,30 Tanah Merah Kechil Road  #07-07 ,1,111,Strata,1208000,-,10883,1011,28-Feb-18,Condominium,99 Yrs From 02/03/1998,2001,Resale,Private,16,46,465558,East Region,Bedok
J GATEWAY,2 Gateway Drive  #10-15 ,1,56,Strata,1000000,-,17857,1659,28-Feb-18,Condominium,99 Yrs From 28/08/2012,2016,Resale,HDB,22,60,608533,West Region,Jurong East
THE ALPS RESIDENCES,111 Tampines Street 86  #01-35 ,1,87,Strata,1053000,-,12103,1124,28-Feb-18,Condominium,99 Yrs From 03/08/2015,Uncompleted,New Sale,HDB,18,52,528535,East Region,Tampines
GRANDEUR PARK RESIDENCES,3 Bedok South Avenue 3  #04-18 ,1,62,Strata,1071112,-,17276,1605,28-Feb-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,HDB,16,46,465462,East Region,Bedok
CITYLIGHTS,90 Jellicoe Road  #15-28 ,1,81,Strata,1350000,-,16667,1548,28-Feb-18,Condominium,99 Yrs From 05/01/2004,2007,Resale,Private,8,20,208749,Central Region,Kallang
THE BERTH BY THE COVE,214 Ocean Drive  #06-18 ,1,273,Strata,3250000,-,11905,1106,28-Feb-18,Condominium,99 Yrs From 18/03/2004,2006,Resale,Private,4,9,98623,Central Region,Southern Islands
GARDENVISTA,958 Dunearn Road  #04-20 ,1,125,Strata,1688000,-,13504,1255,28-Feb-18,Condominium,99 Yrs From 09/09/1999,2006,Resale,HDB,21,58,589485,Central Region,Bukit Timah
RIVERSOUND RESIDENCE,5 Sengkang East Avenue  #07-16 ,1,70,Strata,745800,-,10654,990,28-Feb-18,Condominium,99 Yrs From 26/08/2011,2015,Resale,HDB,19,54,544740,North East Region,Sengkang
THE TRILINQ,28 Jalan Lempeng  #24-08 ,1,103,Strata,1476000,-,14330,1331,28-Feb-18,Condominium,99 Yrs From 16/04/2012,2017,New Sale,HDB,5,12,128807,West Region,Clementi
THE VISION,79 West Coast Crescent  #02-05 ,1,149,Strata,1833888,-,12308,1143,28-Feb-18,Condominium,99 Yrs From 25/06/2008,2014,Resale,Private,5,12,126793,West Region,Clementi
PARC RIVIERA,101 West Coast Vale  #12-01 ,1,107,Strata,1323000,-,12364,1149,28-Feb-18,Condominium,99 Yrs From 11/11/2015,Uncompleted,New Sale,N.A,5,12,126753,West Region,Clementi
QUEENS PEAK,3 Dundee Road  #38-25 ,1,140,Strata,2493000,-,17807,1654,28-Feb-18,Condominium,99 Yrs From 28/09/2015,Uncompleted,New Sale,Private,3,14,149457,Central Region,Queenstown
CITYLIGHTS,80 Jellicoe Road  #10-03 ,1,126,Strata,1780000,-,14127,1312,28-Feb-18,Condominium,99 Yrs From 05/01/2004,2007,Resale,HDB,8,20,208766,Central Region,Kallang
RIVERSOUND RESIDENCE,9 Sengkang East Avenue  #06-30 ,1,108,Strata,1080000,-,10000,929,28-Feb-18,Condominium,99 Yrs From 26/08/2011,2015,Resale,HDB,19,54,544742,North East Region,Sengkang
VARSITY PARK CONDOMINIUM,40 West Coast Road  #03-38 ,1,102,Strata,1250000,-,12255,1139,28-Feb-18,Condominium,99 Yrs From 03/05/2004,2008,Resale,HDB,5,12,126843,West Region,Clementi
QUEENS PEAK,1 Dundee Road  #40-12 ,1,75,Strata,1515000,-,20200,1877,28-Feb-18,Condominium,99 Yrs From 28/09/2015,Uncompleted,New Sale,Private,3,14,149456,Central Region,Queenstown
HILLSTA,68 Phoenix Road  #14-14 ,1,50,Strata,665000,-,13300,1236,28-Feb-18,Condominium,99 Yrs From 03/10/2011,2016,Resale,HDB,23,66,668202,West Region,Bukit Batok
THE ALPS RESIDENCES,115 Tampines Street 86  #02-44 ,1,87,Strata,1050000,-,12069,1121,28-Feb-18,Condominium,99 Yrs From 03/08/2015,Uncompleted,New Sale,Private,18,52,528537,East Region,Tampines
QUEENS PEAK,1 Dundee Road  #40-07 ,1,140,Strata,2520000,-,18000,1672,28-Feb-18,Condominium,99 Yrs From 28/09/2015,Uncompleted,New Sale,HDB,3,14,149456,Central Region,Queenstown
