school_name,Primary School,address,postal_code,dgp_code,mainlevel_code
PASIR RIS PRIMARY SCHOOL,PASIR RIS PRIMARY SCHOOL,5    PASIR RIS STREET 21,518968,PASIR RIS,PRIMARY
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7    PEI WAH AVENUE,597610,BUKIT TIMAH,PRIMARY
PEI TONG PRIMARY SCHOOL,PEI TONG PRIMARY SCHOOL,15   CLEMENTI AVENUE 5,129857,CLEMENTI,PRIMARY
PEIYING PRIMARY SCHOOL,PEIYING PRIMARY SCHOOL,651  YISHUN RING ROAD,768687,YISHUN,PRIMARY
PIONEER PRIMARY SCHOOL,PIONEER PRIMARY SCHOOL,23   JURONG WEST STREET 81,649076,JURONG WEST,PRIMARY
PRINCESS ELIZABETH PRIMARY SCHOOL,PRINCESS ELIZABETH PRIMARY SCHOOL,30   BUKIT BATOK WEST AVENUE 3,659163,BUKIT BATOK,PRIMARY
PUNGGOL COVE PRIMARY SCHOOL,PUNGGOL COVE PRIMARY SCHOOL,52   Sumang Walk,828674,PUNGGOL,PRIMARY
PUNGGOL GREEN PRIMARY SCHOOL,PUNGGOL GREEN PRIMARY SCHOOL,98   Punggol Walk,828772,PUNGGOL,PRIMARY
PUNGGOL PRIMARY SCHOOL,PUNGGOL PRIMARY SCHOOL,61   HOUGANG AVENUE 8,538787,HOUGANG,PRIMARY
PUNGGOL VIEW PRIMARY SCHOOL,PUNGGOL VIEW PRIMARY SCHOOL,9    Punggol Place,828845,PUNGGOL,PRIMARY
QIFA PRIMARY SCHOOL,QIFA PRIMARY SCHOOL,50   WEST COAST AVENUE,128104,CLEMENTI,PRIMARY
QIHUA PRIMARY SCHOOL,QIHUA PRIMARY SCHOOL,5    WOODLANDS STREET 81,738525,WOODLANDS,PRIMARY
QUEENSTOWN PRIMARY SCHOOL,QUEENSTOWN PRIMARY SCHOOL,310  MARGARET DR,149303,QUEENSTOWN,PRIMARY
RADIN MAS PRIMARY SCHOOL,RADIN MAS PRIMARY SCHOOL,1    BUKIT PURMEI AVENUE,99840,BUKIT MERAH,PRIMARY
RAFFLES GIRLS' PRIMARY SCHOOL,RAFFLES GIRLS' PRIMARY SCHOOL,21   Hillcrest Road,289072,BUKIT TIMAH,PRIMARY
RIVER VALLEY PRIMARY SCHOOL,RIVER VALLEY PRIMARY SCHOOL,2    RIVER VALLEY GREEN,237993,CENTRAL,PRIMARY
RIVERSIDE PRIMARY SCHOOL,RIVERSIDE PRIMARY SCHOOL,110  Woodlands Crescent,737803,WOODLANDS,PRIMARY
RIVERVALE PRIMARY SCHOOL,RIVERVALE PRIMARY SCHOOL,80   RIVERVALE DRIVE,545092,SENG KANG,PRIMARY
RULANG PRIMARY SCHOOL,RULANG PRIMARY SCHOOL,6    JURONG WEST STREET 52,649295,JURONG WEST,PRIMARY
SEMBAWANG PRIMARY SCHOOL,SEMBAWANG PRIMARY SCHOOL,10   SEMBAWANG DRIVE,757715,SEMBAWANG,PRIMARY
SENG KANG PRIMARY SCHOOL,SENG KANG PRIMARY SCHOOL,21   COMPASSVALE WALK,545166,SENG KANG,PRIMARY
